current_registration,msn,manufacturer,type,subtype,model,airline_code
279,279.0,LEONARDO,A139,A139,AW-139,aca
4O-AOB,,,,,,mne
9H-WAF,,,,,,wzz
9H-WAG,,,,,,wzz
9H-WAI,,,,,,wzz
9H-WAL,,,,,,wzz
9H-WAO,,,,,,wzz
9H-WAQ,,,,,,wzz
9H-WAY,,,,,,wzz
9H-WAZ,,,,,,wzz
9H-WBI,,,,,,wzz
9H-WBU,,,,,,wzz
9H-WBZ,,,,,,wzz
9H-WDG,,,,,,wzz
9H-WDH,,,,,,wzz
9H-WDK,,,,,,wzz
9H-WDP,,,,,,wzz
9H-WDQ,,,,,,wzz
9H-WDR,,,,,,wzz
9H-WDS,,,,,,wzz
9H-WDT,,,,,,wzz
9H-WDV,,,,,,wzz
C-FANB,25764.0,BOEING,B734,73Q,Boeing 737-400 Combi,ant
C-FANF,27417.0,BOEING,B735,73E,Boeing 737-500 (winglets)pax,ant
C-FCEU,,,,,,aca
C-FCUG,,,,,,aca
C-FDCA,,,,,,aca
C-FEIQ,83.0,EMBRAER,E75S,E75,Embraer 175 (Long Wing),aca
C-FEIX,85.0,EMBRAER,E75S,E75,Embraer 175 (Long Wing),aca
C-FEJB,86.0,EMBRAER,E75S,E75,Embraer 175 (Long Wing),aca
C-FEJD,90.0,EMBRAER,E75S,E75,Embraer 175 (Long Wing),aca
C-FEJP,96.0,EMBRAER,E75S,E75,Embraer 175 (Long Wing),aca
C-FEJY,97.0,EMBRAER,E75S,E75,Embraer 175 (Long Wing),aca
C-FEKD,101.0,EMBRAER,E75S,E75,Embraer 175 (Long Wing),aca
C-FEKH,102.0,EMBRAER,E75S,E75,Embraer 175 (Long Wing),aca
C-FEKI,103.0,EMBRAER,E75S,E75,Embraer 175 (Long Wing),aca
C-FEKJ,109.0,EMBRAER,E75S,E75,Embraer 175 (Long Wing),aca
C-FFYG,,,,,,aca
C-FGDT,37171.0,BOEING,B789,789,Boeing 787-9 pax,aca
C-FGDX,35269.0,BOEING,B789,789,Boeing 787-9 pax,aca
C-FGDZ,37173.0,BOEING,B789,789,Boeing 787-9 pax,aca
C-FGEI,37174.0,BOEING,B789,789,Boeing 787-9 pax,aca
C-FGEO,37180.0,BOEING,B789,789,Boeing 787-9 pax,aca
C-FGFZ,37172.0,BOEING,B789,789,Boeing 787-9 pax,aca
C-FGHZ,37169.0,BOEING,B789,789,Boeing 787-9 pax,aca
C-FGJI,1787.0,AIRBUS,A320,32A,Airbus A320-200 Ceo (Sharklets),aca
C-FGKH,1975.0,AIRBUS,A320,32A,Airbus A320-200 Ceo (Sharklets),aca
C-FGKN,3051.0,AIRBUS,A321,321,Airbus A321-100/200 Ceo,aca
C-FGKZ,3401.0,AIRBUS,A321,321,Airbus A321-100/200 Ceo,aca
C-FITL,,,,,,aca
C-FITU,,,,,,aca
C-FITW,35298.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FIUA,,,,,,aca
C-FIUJ,,,,,,aca
C-FIUL,35255.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FIUR,,,,,,aca
C-FIUV,35248.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FIUW,35249.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FIVK,,,,,,aca
C-FIVM,35251.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FIVQ,35240.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FIVR,35241.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FIVS,35784.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FIVW,42218.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FIVX,42219.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FJBO,277.0,EMBRAER,E75S,E75,Embraer 175 (Long Wing),aca
C-FJFZ,,CANADAIR,CRJ9,CRA,Canadair Regional Jet 705,aca
C-FJJZ,15043.0,CANADAIR,CRJ7,CR7,Canadair Regional Jet 700,aca
C-FJOU,,,,,,aca
C-FJQZ,15498.0,CANADAIR,CRJ9,CRA,Canadair Regional Jet 705,aca
C-FJZD,,CANADAIR,CRJ9,CRA,Canadair Regional Jet 705,aca
C-FJZS,62400.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FKAU,62401.0,BOEING,B77W,77W,Boeing 777-300ER pax,aca
C-FVGP,,,,,,ant
C-GANH,27153.0,BOEING,B735,73E,Boeing 737-500 (winglets)pax,ant
C-GANJ,,BOEING,B735,73E,Boeing 737-500 (winglets)pax,ant
C-GVGX,264.0,ATR,AT43,AT4,Aerospatiale/Alenia ATR 42-300 / 320,ant
CS-TSW,,,,,,mmz
D-ABGJ,3415.0,AIRBUS,A319,32D,Airbus A319 Ceo (Sharklets),ewg
D-ABGN,3661.0,AIRBUS,A319,32D,Airbus A319 Ceo (Sharklets),ewg
D-ABGQ,3700.0,AIRBUS,A319,32D,Airbus A319 Ceo (Sharklets),ewg
D-ABHG,2867.0,AIRBUS,A320,32A,Airbus A320-200 Ceo (Sharklets),ewg
D-ABNH,,,,,,ewg
D-ABNL,1852.0,AIRBUS,A320,32A,Airbus A320-200 Ceo (Sharklets),ewg
D-ABNN,,,,,,ewg
D-ABNU,2591.0,AIRBUS,A320,32A,Airbus A320-200 Ceo (Sharklets),ewg
D-ABPA,,,,,,dlh
D-ABPB,,,,,,dlh
D-ABPC,,,,,,dlh
D-ABPD,,,,,,dlh
D-ABTK,29871.0,BOEING,B744,74Y,Boeing 747-400 Freighter,dlh
D-ABTL,,,,,,dlh
D-ABVU,,,,,,dlh
D-ABVW,,,,,,dlh
D-ABVX,,,,,,dlh
D-ABVZ,,,,,,dlh
D-ABYD,37829.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYF,37830.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYG,37831.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYH,37832.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYI,37833.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYJ,37834.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYK,37835.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYL,37836.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYM,37837.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYN,37838.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYP,,,,,,dlh
D-ABYQ,21591.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYR,21643.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYS,37843.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYT,37844.0,BOEING,B748,748,Boeing 747-8 pax,dlh
D-ABYU,37845.0,BOEING,B748,748,Boeing 747-8 pax,dlh
