current_registration,mro_code
279,lotams
4O-AOB,lotams
C-FANB,lotams
C-FANF,lotams
C-FCEU,lotams
C-FCUG,lotams
C-FDCA,lotams
C-FEIQ,lotams
C-FEIX,lotams
C-FEJB,lotams
C-FEJD,lotams
C-FEJP,lotams
C-FEJY,lotams
C-FEKD,lotams
C-FEKH,lotams
C-FEKI,lotams
C-FEKJ,lotams
C-FFYG,lotams
C-FGDT,lotams
C-FGDX,lotams
C-FGDZ,lotams
C-FGEI,lotams
C-FGEO,lotams
C-FGFZ,lotams
C-FGHZ,lotams
C-FGJI,lotams
C-FGKH,lotams
C-FGKN,lotams
C-FGKZ,lotams
C-FITL,lotams
C-FITU,lotams
C-FITW,lotams
C-FIUA,lotams
C-FIUJ,lotams
C-FIUL,lotams
C-FIUR,lotams
C-FIUV,lotams
C-FIUW,lotams
C-FIVK,lotams
C-FIVM,lotams
C-FIVQ,lotams
C-FIVR,lotams
C-FIVS,lotams
C-FIVW,lotams
C-FIVX,lotams
C-FJBO,lotams
C-FJFZ,lotams
C-FJJZ,lotams
C-FJOU,lotams
C-FJQZ,lotams
C-FJZD,lotams
C-FJZS,lotams
C-FKAU,lotams
C-FVGP,lotams
C-GANH,lotams
C-GANJ,lotams
C-GVGX,lotams
CS-TSW,lotams
D-ABPA,lotams
D-ABPB,lotams
D-ABPC,lotams
D-ABPD,lotams
D-ABTK,lotams
D-ABTL,lotams
D-ABVU,lotams
D-ABVW,lotams
D-ABVX,lotams
D-ABVZ,lotams
D-ABYD,lotams
D-ABYF,lotams
D-ABYG,lotams
D-ABYH,lotams
D-ABYI,lotams
D-ABYJ,lotams
D-ABYK,lotams
D-ABYL,lotams
D-ABYM,lotams
D-ABYN,lotams
D-ABYP,lotams
D-ABYQ,lotams
D-ABYR,lotams
D-ABYS,lotams
D-ABYT,lotams
D-ABYU,lotams
D-ACNB,lotams
D-ACNC,lotams
D-ACND,lotams
D-ACNE,lotams
D-ACNF,lotams
D-ACNH,lotams
D-ACNI,lotams
D-ACNJ,lotams
D-ACNK,lotams
D-ACNL,lotams
D-ACNM,lotams
D-ACNO,lotams
D-ACNP,lotams
D-ACNQ,lotams
D-ACNR,lotams
D-ACNT,lotams
D-ACNU,lotams
D-ACNV,lotams
D-ACNW,lotams
D-ACNX,lotams
D-AIBA,lotams
D-AIBB,lotams
D-AIBC,lotams
EC-MII,lotams
EI-HIL,lotams
EI-HIM,lotams
EI-NEO,lotams
EI-NEU,lotams
EI-NEW,lotams
EI-NUA,lotams
EI-NYE,lotams
EI-RZA,lotams
EI-RZB,lotams
EI-RZC,lotams
EI-RZD,lotams
EI-RZE,lotams
F-OJZA,lotams
F-OLRC,lotams
F-OLRD,lotams
F-OLRE,lotams
F-OMER,lotams
F-OMUA,lotams
F-ONUI,lotams
F-OREU,lotams
F-OTOA,lotams
F-OVAA,lotams
G-VYGK,lotams
HA-LKG,lotams
I-ADJK,lotams
I-ADJM,lotams
I-ADJN,lotams
I-ADJO,lotams
I-ADJP,lotams
I-ADJQ,lotams
I-ADJR,lotams
I-ADJT,lotams
I-ADJU,lotams
I-ADJV,lotams
I-ADJW,lotams
I-ADJX,lotams
I-ADJY,lotams
I-ADJZ,lotams
I-JENB,lotams
I-JEND,lotams
I-JENE,lotams
I-NEOU,lotams
I-NEOZ,lotams
LZ-EAH,lotams
OK-IOO,lotams
OK-JRE,lotams
OK-JRS,lotams
OK-SWA,lotams
OK-SWD,lotams
OK-SWE,lotams
OK-SWH,lotams
OK-SWJ,lotams
OK-TSF,lotams
OK-TSI,lotams
OK-TSO,lotams
OK-TSU,lotams
OK-TVF,lotams
OO-JAX,lotams
OO-JDL,lotams
OO-MAX,lotams
PH-EXF,lotams
PH-EXI,lotams
PH-EXR,lotams
PH-LAU,lotams
PH-TFK,lotams
PH-TFL,lotams
PH-TFM,lotams
PH-TFO,lotams
PH-TFP,lotams
PH-TFR,lotams
PH-TFT,lotams
PH-TFU,lotams
SP-LDF,lotams
SP-LDH,lotams
SP-LDI,lotams
SP-LIC,lotams
SP-LID,lotams
SP-LII,lotams
SP-LIL,lotams
SP-LIM,lotams
SP-LIN,lotams
SP-LIO,lotams
SP-LIQ,lotams
SP-LIR,lotams
SP-LMA,lotams
SP-LMB,lotams
SP-LMC,lotams
SP-LMD,lotams
SP-LME,lotams
SP-LMF,lotams
SP-LMH,lotams
SP-LNB,lotams
SP-LNC,lotams
SP-LND,lotams
SP-LNE,lotams
SP-LNF,lotams
SP-LNG,lotams
SP-LNH,lotams
SP-LNL,lotams
SP-LNM,lotams
SP-LNN,lotams
SP-LNO,lotams
SP-LRA,lotams
SP-LRC,lotams
SP-LRD,lotams
SP-LRH,lotams
SP-LSA,lotams
SP-LSB,lotams
SP-LSC,lotams
SP-LSE,lotams
SP-LSF,lotams
SP-LSG,lotams
SP-LVA,lotams
SP-LVB,lotams
SP-LVC,lotams
SP-LVD,lotams
SP-LWA,lotams
SP-LWB,lotams
SP-LWC,lotams
SP-LWF,lotams
SP-LWG,lotams
SP-MRG,lotams
SP-TVZ,lotams
TC-GCA,lotams
TC-JCI,lotams
TC-JDO,lotams
TC-JDP,lotams
TC-JDR,lotams
TC-JDS,lotams
TC-JHL,lotams
TC-JHM,lotams
TC-JHN,lotams
TC-JHO,lotams
TC-JHP,lotams
TC-JHS,lotams
TC-JHT,lotams
TC-JHU,lotams
TC-JHV,lotams
TC-JHY,lotams
TC-JHZ,lotams
TC-JIO,lotams
TC-JIP,lotams
TC-JIS,lotams
TC-JIT,lotams
TC-JJF,lotams
TC-JJG,lotams
TC-JJI,lotams
TC-JJJ,lotams
TC-JJK,lotams
TC-JJL,lotams
TC-JJN,lotams
TC-JJO,lotams
TC-JJP,lotams
TC-JJR,lotams
TC-JJS,lotams
TC-JJT,lotams
TC-JJU,lotams
TC-JJV,lotams
TC-JJY,lotams
TC-JJZ,lotams
TC-JLS,lotams
TC-JLT,lotams
TC-JLU,lotams
TC-JLV,lotams
TC-JLY,lotams
TC-JMH,lotams
TC-JMI,lotams
TC-JMK,lotams
TC-JML,lotams
TC-JNB,lotams
TC-JNC,lotams
TC-JND,lotams
TC-JNE,lotams
TC-MGG,lotams
TF-FIC,lotams
TF-FIK,lotams
TF-FIN,lotams
TF-FXA,lotams
TF-FXE,lotams
TF-FXG,lotams
TF-FXH,lotams
TF-FXI,lotams
TF-FXK,lotams
TF-ICA,lotams
TF-ICB,lotams
TF-ICC,lotams
TF-ICD,lotams
TF-ICE,lotams
TF-ICF,lotams
TF-ICG,lotams
TF-ICH,lotams
TF-ICI,lotams
TF-ICL,lotams
TF-ICM,lotams
TF-ICN,lotams
TF-ICO,lotams
TF-ICP,lotams
TF-ICR,lotams
TF-ICS,lotams
TF-ICU,lotams
TF-ICY,lotams
TF-ISO,lotams
TF-ISP,lotams
TF-ISR,lotams
TF-ISW,lotams
TF-LLL,lotams
VT-GSI,lotams
VT-GSJ,lotams
9H-WAF,lst
9H-WAG,lst
9H-WAI,lst
9H-WAL,lst
9H-WAO,lst
9H-WAQ,lst
9H-WAY,lst
9H-WAZ,lst
9H-WBI,lst
9H-WBU,lst
9H-WBZ,lst
9H-WDG,lst
9H-WDH,lst
9H-WDK,lst
9H-WDP,lst
9H-WDQ,lst
9H-WDR,lst
9H-WDS,lst
9H-WDT,lst
9H-WDV,lst
D-ABGJ,lst
D-ABGN,lst
D-ABGQ,lst
D-ABHG,lst
D-ABNH,lst
D-ABNL,lst
D-ABNN,lst
D-ABNU,lst
D-ABZE,lst
D-ABZI,lst
D-ABZK,lst
D-ABZL,lst
D-ABZN,lst
D-AEEA,lst
D-AEEB,lst
D-AEEC,lst
D-AEED,lst
D-AENC,lst
D-AENE,lst
D-AENF,lst
D-AENG,lst
D-AENH,lst
D-AEWJ,lst
D-AEWK,lst
D-AEWL,lst
D-AEWM,lst
D-AEWN,lst
D-AEWO,lst
D-AEWP,lst
D-AEWQ,lst
D-AEWR,lst
D-AEWS,lst
D-AEWT,lst
D-AEWU,lst
D-AEWV,lst
D-AEWW,lst
D-AGWA,lst
D-AGWB,lst
D-AGWC,lst
D-AGWD,lst
D-AGWE,lst
D-AGWF,lst
D-AGWG,lst
D-AGWH,lst
D-AGWK,lst
D-AGWL,lst
D-AGWM,lst
D-AGWN,lst
D-AGWU,lst
D-AGWV,lst
D-CSUS,lst
D-IGRK,lst
EC-JDR,lst
EC-JFG,lst
EC-JFH,lst
EC-JLI,lst
EC-JSY,lst
EC-JTR,lst
EC-JYX,lst
EC-JZI,lst
EC-KCU,lst
EC-KDG,lst
EC-KDH,lst
EC-KDT,lst
EC-KDX,lst
EC-KHN,lst
EC-KJD,lst
EC-KLB,lst
EC-KLT,lst
EC-KRH,lst
EC-LAA,lst
EC-LAB,lst
EC-LLJ,lst
EC-LOB,lst
EC-LOC,lst
EC-LOP,lst
EC-LUN,lst
EC-LUO,lst
EC-LUS,lst
EC-LVO,lst
EC-LVP,lst
EC-LVQ,lst
EC-LVS,lst
EC-LVT,lst
EC-LVU,lst
EC-LVV,lst
